director,count
Steven Knight,1
Prabhuraj,1
"Roman Atwood, Ben Pluimer",1
Brian O'Malley,1
Joseph Sargent,1
Hideaki Takizawa,1
Nibal Arakji,1
Jastis Arimba,1
Yandy Laurens,1
Eric Bress,1
Tetsuo Yajima,1
Mukesh Vohra,1
Vinod Kapri,1
Sergio Barrejón,1
Yang Woo-seok,1
Kazuya Murata,1
Shazia Javed,1
Tony Kaye,1
Jon Manning,1
Ken Loach,1
Pa. Ranjith,1
Jonathan Taylor,1
"Ken Burns, Lynn Novick",1
Robert Eggers,1
Barbra Streisand,1
Anna Elizabeth James,1
Hemambar Jasti,1
Jeff Deverett,1
Ángel Gómez Hernández,1
"Tony Bancroft, Scott Christian Sava",1
Stéphane de Freitas,1
Tharun Bhascker,1
Paul Miller,1
Yayo Herrero,1
Riccardo Milani,1
Ben Younger,1
Keanu Reeves,1
Jacek Koprowicz,1
"William Lau, Sylvain Blais",1
Nick Cassavetes,1
Peter Pardini,1
Tim Rouhana,1
C.J. Wallis,1
Marina Willer,1
Robert Kouba,1
Kieran Darcy-Smith,1
Jason Hehir,1
Justin P. Lange,1
"Arnon Manor, Timothy Ware-Hill",1
Gil Kenan,1
Mohammad Adel,1
"Norm Hiscock, Gary Howsam, Mike Smith, John Paul Tremblay, Robb Wells",1
Ahmed Saleh,1
Emcy Joseph,1
Ziggy Hofmeyr,1
Jagdeep Sidhu,1
Rachel Lears,1
Jennifer Kaytin Robinson,1
Soukarya Ghosal,1
"Eric Idle, Aubrey Powell",1
Ludovic Bernard,1
Rob Silvestri,1
Mike Wiluan,1
Sam Patton,1
Patrik Syversen,1
Steve Race,1
Santosh Manjrekar,1
Derek Hui,1
Christian Alvart,1
Adam Bolt,1
Mfanelo Ngoma,1
Cassia Dian,1
Eric Idle,1
Marty Callner,1
Yasuhiro Irie,1
Eric Abrams,1
Elite Zexer,1
Arthur Muhammad,1
John Edginton,1
